Code,Name
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
005380,현대차
207940,삼성바이오로직스
005935,삼성전자우
000270,기아
068270,셀트리온
105560,KB금융
005490,POSCO홀딩스
035420,NAVER
051910,LG화학
055550,신한지주
028260,삼성물산
006400,삼성SDI
012330,현대모비스
003670,포스코퓨처엠
247540,에코프로비엠
086790,하나금융지주
035720,카카오
032830,삼성생명
066570,LG전자
000810,삼성화재
042700,한미반도체
138040,메리츠금융지주
011200,HMM
196170,알테오젠
329180,HD현대중공업
259960,크래프톤
402340,SK스퀘어
086520,에코프로
003550,LG
034020,두산에너빌리티
015760,한국전력
012450,한화에어로스페이스
018260,삼성에스디에스
009150,삼성전기
033780,KT&G
267260,HD현대일렉트릭
009540,HD한국조선해양
024110,기업은행
034730,SK
096770,SK이노베이션
017670,SK텔레콤
010130,고려아연
316140,우리금융지주
047050,포스코인터내셔널
323410,카카오뱅크
042660,한화오션
030200,KT
086280,현대글로비스
028300,HLB
090430,아모레퍼시픽
003490,대한항공
010140,삼성중공업
352820,하이브
005830,DB손해보험
010950,S-Oil
450080,에코프로머티
011070,LG이노텍
005387,현대차2우B
010120,LS ELECTRIC
000100,유한양행
326030,SK바이오팜
034220,LG디스플레이
011790,SKC
267250,HD현대
022100,포스코DX
051900,LG생활건강
066970,엘앤에프
161390,한국타이어앤테크놀로지
097950,CJ제일제당
088980,맥쿼리인프라
443060,HD현대마린솔루션
241560,두산밥캣
001570,금양
454910,두산로보틱스
348370,엔켐
251270,넷마블
047810,한국항공우주
005070,코스모신소재
021240,코웨이
011170,롯데케미칼
028050,삼성E&A
003230,삼양식품
307950,현대오토에버
029780,삼성카드
009830,한화솔루션
079550,LIG넥스원
006800,미래에셋증권
006260,LS
180640,한진칼
032640,LG유플러스
036460,한국가스공사
064350,현대로템
078930,GS
005385,현대차우
005940,NH투자증권
011780,금호석유
302440,SK바이오사이언스
036570,엔씨소프트
000250,삼천당제약
068760,셀트리온제약
004020,현대제철
071050,한국금융지주
010620,HD현대미포
007660,이수페타시스
377300,카카오페이
016360,삼성증권
271560,오리온
128940,한미약품
000720,현대건설
000150,두산
001040,CJ
272210,한화시스템
058470,리노공업
214150,클래시스
298040,효성중공업
361610,SK아이이테크놀로지
039490,키움증권
003410,쌍용C&E
403870,HPSP
001450,현대해상
277810,레인보우로보틱스
035250,강원랜드
175330,JB금융지주
001440,대한전선
278470,에이피알
145020,휴젤
004370,농심
257720,실리콘투
263750,펄어비스
138930,BNK금융지주
002380,KCC
088350,한화생명
004990,롯데지주
052690,한전기술
141080,리가켐바이오
020150,롯데에너지머티리얼즈
002790,아모레G
018880,한온시스템
383220,F&F
089030,테크윙
081660,휠라홀딩스
078600,대주전자재료
028670,팬오션
012750,에스원
357780,솔브레인
008930,한미사이언스
007070,GS리테일
000990,DB하이텍
012510,더존비즈온
030000,제일기획
039030,이오테크닉스
000120,CJ대한통운
204320,HL만도
192820,코스맥스
008770,호텔신라
005850,에스엘
000880,한화
112610,씨에스윈드
014680,한솔케미칼
005290,동진쎄미켐
035900,JYP Ent.
051915,LG화학우
026960,동서
041510,에스엠
036930,주성엔지니어링
282330,BGF리테일
073240,금호타이어
178320,서진시스템
023530,롯데쇼핑
035760,CJ ENM
103140,풍산
240810,원익IPS
293490,카카오게임즈
007310,오뚜기
010060,OCI홀딩스
280360,롯데웰푸드
237690,에스티팜
065350,신성델타테크
051600,한전KPS
017800,현대엘리베이
009420,한올바이오파마
298050,효성첨단소재
417200,LS머트리얼즈
139480,이마트
137400,피엔티
018670,SK가스
204270,제이앤티씨
047040,대우건설
004170,신세계
042670,HD현대인프라코어
011210,현대위아
111770,영원무역
064760,티씨케이
067160,SOOP
161890,한국콜마
298020,효성티앤씨
214450,파마리서치
036830,솔브레인홀딩스
336370,솔루스첨단소재
112040,위메이드
000240,한국앤컴퍼니
000080,하이트진로
457190,이수스페셜티케미컬
002710,TCC스틸
121600,나노신소재
039200,오스코텍
031980,피에스케이홀딩스
006280,녹십자
033100,제룡전기
009240,한샘
082640,동양생명
139130,DGB금융지주
140860,파크시스템스
003690,코리안리
328130,루닛
336260,두산퓨얼셀
352480,씨앤씨인터내셔널
095340,ISC
014820,동원시스템즈
232140,와이씨
108320,LX세미콘
004490,세방전지
185750,종근당
087010,펩트론
034230,파라다이스
006360,GS건설
395400,SK리츠
281740,레이크머티리얼즈
082740,한화엔진
103590,일진전기
166090,하나머티리얼즈
253450,스튜디오드래곤
006040,동원산업
137310,에스디바이오센서
375500,DL이앤씨
145720,덴티움
001120,LX인터내셔널
069620,대웅제약
004800,효성
000210,DL
005300,롯데칠성
004000,롯데정밀화학
214370,케어젠
001720,신영증권
294870,HDC현대산업개발
225570,넥슨게임즈
089860,롯데렌탈
222800,심텍
140410,메지온
084370,유진테크
069960,현대백화점
298380,에이비엘바이오
393890,더블유씨피
009970,영원무역홀딩스
005420,코스모화학
018290,브이티
950160,코오롱티슈진
096530,씨젠
006110,삼아알미늄
353200,대덕전자
267270,HD현대건설기계
001740,SK네트웍스
317330,덕산테코피아
195940,HK이노엔
120110,코오롱인더
067310,하나마이크론
319660,피에스케이
086900,메디톡스
025320,시노펙스
248070,솔루엠
051980,중앙첨단소재
003620,KG모빌리티
440110,파두
365550,ESR켄달스퀘어리츠
287410,제이시스메디칼
192080,더블유게임즈
008730,율촌화학
213420,덕산네오룩스
085620,미래에셋생명
002840,미원상사
056190,에스에프에이
383310,에코프로에이치엔
074600,원익QnC
067630,HLB생명과학
365340,성일하이텍
001800,오리온홀딩스
229640,LS에코에너지
300720,한일시멘트
079160,CJ CGV
310210,보로노이
003090,대웅
042000,카페24
281820,케이씨텍
078130,국일제지
039130,하나투어
001680,대상
005180,빙그레
456040,OCI
241710,코스메카코리아
085660,차바이오텍
000815,삼성화재우
036540,SFA반도체
098460,고영
009520,포스코엠텍
003540,대신증권
006650,대한유화
005880,대한해운
214320,이노션
